序号,分部名称,子分部名称,分项名称,默认验收批次,指标名称,整改建议,问题级别,整改天数
47,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",型钢悬挑梁固定端少于2个（对）U型钢筋拉环或锚固螺栓U型钢筋拉环的、或锚固螺栓与型钢间隙未用钢楔或硬木楔楔紧的,,一般,7
48,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",未按规定设置横向斜撑,,一般,7
49,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",作业层脚手板下未采用安全平网兜底或作业层以下每隔10m未采用安全平网封闭,,一般,7
50,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",架体底层沿建筑结构边缘，悬挑钢梁与悬挑钢梁之间未采取封闭措施或封闭不严,,一般,7
51,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",钢梁间距未按悬挑架体立杆纵距设置,,一般,7
52,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",架体底层未进行封闭或封闭不严,,一般,7
53,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",立杆底部与悬挑钢梁连接处未采取可靠固定措施，,,一般,7
54,安全生产,脚手架及卸料平台,模板支撑体系,"楼栋,层,分层,分户,地下室,室外,标段",支架底部未设置垫板或垫板的规格不符合规范要求,,一般,7
55,安全生产,脚手架及卸料平台,模板支撑体系,"楼栋,层,分层,分户,地下室,室外,标段",立杆纵、横间距大于设计和规范要求,,一般,7
56,安全生产,脚手架及卸料平台,模板支撑体系,"楼栋,层,分层,分户,地下室,室外,标段",作业面孔洞及临边无防护措施的,,一般,7
57,安全生产,脚手架及卸料平台,模板支撑体系,"楼栋,层,分层,分户,地下室,室外,标段",未按规范要求设置扫地杆,,一般,7
58,安全生产,脚手架及卸料平台,模板支撑体系,"楼栋,层,分层,分户,地下室,室外,标段",立杆伸出顶层水平杆的长度超过规范要求,,一般,7
59,安全生产,脚手架及卸料平台,模板支撑体系,"楼栋,层,分层,分户,地下室,室外,标段",底部立杆采用搭接方式,,一般,7
60,安全生产,脚手架及卸料平台,模板支撑体系,"楼栋,层,分层,分户,地下室,室外,标段",支撑架的可调底座、可调托撑螺杆伸出长度大于300mm，插入立杆内的长度小于150mm,,一般,7
61,安全生产,脚手架及卸料平台,落地式脚手架,"楼栋,层,分层,分户,地下室,室外,标段",每10延长米立杆基础不平、不实、不符，无扫地杆，无排水措施,,一般,7
62,安全生产,脚手架及卸料平台,落地式脚手架,"楼栋,层,分层,分户,地下室,室外,标段",当脚手架基础下有设备基础、管沟时，在脚手架使用过程中开挖，且未采取加固措施的,,一般,7
63,安全生产,脚手架及卸料平台,落地式脚手架,"楼栋,层,分层,分户,地下室,室外,标段",未在立杆与纵向水平杆交点处设置横向水平杆,,一般,7
64,安全生产,脚手架及卸料平台,落地式脚手架,"楼栋,层,分层,分户,地下室,室外,标段",立杆除顶层顶步外采用搭接,,一般,7
65,安全生产,脚手架及卸料平台,落地式脚手架,"楼栋,层,分层,分户,地下室,室外,标段",立杆底部未设置底座或垫板，悬空的,,一般,7
66,安全生产,脚手架及卸料平台,剪刀撑设置,"楼栋,层,分层,分户,地下室,室外,标段",高度在24m及以上的双排脚手架未在外侧全立面设置剪刀撑或未连续设置的,,一般,7
67,安全生产,脚手架及卸料平台,剪刀撑设置,"楼栋,层,分层,分户,地下室,室外,标段",高度在24m以下的单、双排脚手架，在外侧两端、转角及中间间隔不超过15m的立面上，未设置一道剪刀撑，且未由底至顶连续设置的,,一般,7
68,安全生产,脚手架及卸料平台,剪刀撑设置,"楼栋,层,分层,分户,地下室,室外,标段","每道剪刀撑宽度大于4跨，且不大于6m,斜杆与地面的倾角未在45°~60°之间的",,一般,7
69,安全生产,脚手架及卸料平台,剪刀撑设置,"楼栋,层,分层,分户,地下室,室外,标段",剪刀撑斜杆的接长采用搭接，但搭接长度小于1m，且少于3个旋转扣件固定，端部扣件的边缘至杆端距离小于100mm的,,一般,7
70,安全生产,脚手架及卸料平台,架体防护,"楼栋,层,分层,分户,地下室,室外,标段",脚手架外立面未满挂密目安全网全封闭,,一般,7
71,安全生产,脚手架及卸料平台,架体防护,"楼栋,层,分层,分户,地下室,室外,标段",作业层外侧未设置1.2m高防护栏杆和18cm高踏脚板,,一般,7
72,安全生产,脚手架及卸料平台,架体防护,"楼栋,层,分层,分户,地下室,室外,标段",脚手架搭设与结构施工不同步的，要求脚手架要高于结构1.5M以上,,一般,7
73,安全生产,脚手架及卸料平台,架体防护,"楼栋,层,分层,分户,地下室,室外,标段",落地架不设上下通道的,,一般,7
74,安全生产,脚手架及卸料平台,架体防护,"楼栋,层,分层,分户,地下室,室外,标段",作业层脚手板不满铺，铺设不符合要求,,一般,7
75,安全生产,脚手架及卸料平台,架体防护,"楼栋,层,分层,分户,地下室,室外,标段",脚手架荷载超过规定，施工荷载堆放不均匀,,一般,7
76,安全生产,脚手架及卸料平台,连墙件,"楼栋,层,分层,分户,地下室,室外,标段",连墙件设置间距不符合规范或方案要求的,,一般,7
77,安全生产,脚手架及卸料平台,连墙件,"楼栋,层,分层,分户,地下室,室外,标段",对高度24m以下的脚手架，未采用刚性连墙件与建筑物可靠连接，或未采用拉筋和顶撑配合使用的附墙连接方式且使用仅有拉筋的柔性连墙件的,,一般,7
78,安全生产,脚手架及卸料平台,连墙件,"楼栋,层,分层,分户,地下室,室外,标段",对高度24m以上的双排脚手架，未采用刚性连墙件与建筑物可靠连接,,一般,7
79,安全生产,脚手架及卸料平台,卸料平台,"楼栋,层,分层,分户,地下室,室外,标段",悬挑式槽钢卸料平台的搁支点与上部拉接点，设置在脚手架等施工设备上的,,一般,7
80,安全生产,脚手架及卸料平台,卸料平台,"楼栋,层,分层,分户,地下室,室外,标段",操作平台上未显著地标明容许荷载值，操作平台上人员和物料的总重量的,,一般,7
81,安全生产,脚手架及卸料平台,卸料平台,"楼栋,层,分层,分户,地下室,室外,标段",悬挑式卸料平台的下部支撑系统或上部拉结点，未设置在建筑结构上,,一般,7
82,安全生产,脚手架及卸料平台,卸料平台,"楼栋,层,分层,分户,地下室,室外,标段",钢丝绳未按要求在卸料平台两侧各设置两道,,一般,7
83,安全生产,脚手架及卸料平台,卸料平台,"楼栋,层,分层,分户,地下室,室外,标段",卸料平台台面铺板不严或平台与建筑结构之间铺板不严,,一般,7
84,安全生产,脚手架及卸料平台,卸料平台,"楼栋,层,分层,分户,地下室,室外,标段",卸料平台支撑系统与脚手架连结的,,一般,7
85,安全生产,安全用电,外电防护,"楼栋,层,分层,分户,地下室,室外,标段",外电线路与在建工程及脚手架、起重机械、场内机动车道之间的安全距离不符合规范要求且未采取防护措施,,一般,7
86,安全生产,安全用电,外电防护,"楼栋,层,分层,分户,地下室,室外,标段",防护设施未设置明显的警示标志,,一般,7
87,安全生产,安全用电,外电防护,"楼栋,层,分层,分户,地下室,室外,标段",防护设施与外电线路的安全距离及搭设方式不符合规范要求,,一般,7
88,安全生产,安全用电,外电防护,"楼栋,层,分层,分户,地下室,室外,标段",在外电架空线路正下方施工、建造临时设施或堆放材料物品,,一般,7
89,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",不符合“三级配电两级保护”要求的,,一般,7
90,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",违反“一机、一闸、一漏、一箱”的每一处,,一般,7
91,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",电箱无门、无锁、无防雨措施的,,一般,7
92,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",配电箱与开关箱电器损坏或电箱下引出线混乱每一处,,一般,7
93,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",箱体未设置系统接线图和分路标记、无电工巡视维修记录或填写不真实的,,一般,7
94,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",漏电保护器参数不匹配或仪表检测不灵敏,,一般,7
95,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",箱体安装位置、高度及周边通道不符合规范要求,,一般,7
96,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",用电设备未有各自专用的开关箱,,一般,7
97,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",分配电箱与开关箱、开关箱与用电设备的距离不符合规范要求,,一般,7
98,安全生产,安全用电,配电箱开关箱,"楼栋,层,分层,分户,地下室,室外,标段",工作接地与重复接地不符合要求的,,一般,7
99,安全生产,安全用电,现场照明,"楼栋,层,分层,分户,地下室,室外,标段",照明用电与动力用电混用,,一般,7
100,安全生产,安全用电,现场照明,"楼栋,层,分层,分户,地下室,室外,标段",灯具金属外壳未作接零保护的,,一般,7
101,安全生产,安全用电,现场照明,"楼栋,层,分层,分户,地下室,室外,标段",潮湿作业未使用36V以下安全电压的,,一般,7
102,安全生产,安全用电,配电线路,"楼栋,层,分层,分户,地下室,室外,标段",电线老化、破皮未包扎的,,一般,7
103,安全生产,安全用电,配电线路,"楼栋,层,分层,分户,地下室,室外,标段",线路过道无保护,,一般,7
104,安全生产,安全用电,配电线路,"楼栋,层,分层,分户,地下室,室外,标段",使用四芯电缆外加一根线替代五芯电缆的,,一般,7
105,安全生产,安全用电,配电线路,"楼栋,层,分层,分户,地下室,室外,标段",电缆沿地面明设或沿脚手架、树木等敷设或敷设不符合规范要求,,一般,7
106,安全生产,安全用电,配电线路,"楼栋,层,分层,分户,地下室,室外,标段",电缆架设或埋设不符合要求的,,一般,7
107,安全生产,安全用电,配电室,"楼栋,层,分层,分户,地下室,室外,标段",配电室未采取防雨雪和小动物侵入的措施,,一般,7
108,安全生产,安全用电,配电室,"楼栋,层,分层,分户,地下室,室外,标段",配电室未设警示标志、工地供电平面图和系统图,,一般,7
109,安全生产,安全用电,配电室,"楼栋,层,分层,分户,地下室,室外,标段",配电室、配电装置布设不符合规范要求,,一般,7
110,安全生产,安全用电,配电室,"楼栋,层,分层,分户,地下室,室外,标段",未配置适用于电气火灾的灭火器材,,一般,7
111,安全生产,安全用电,配电室,"楼栋,层,分层,分户,地下室,室外,标段",施工现场未设置配电室,,一般,7
112,安全生产,施工机具,圆盘电锯,"楼栋,层,分层,分户,地下室,室外,标段",无锯盘护罩、分料器、防护挡板安全装置每缺一项的,,一般,7
113,安全生产,施工机具,圆盘电锯,"楼栋,层,分层,分户,地下室,室外,标段",传动部位无防护的,,一般,7
114,安全生产,施工机具,圆盘电锯,"楼栋,层,分层,分户,地下室,室外,标段",未做保护接零、无漏电保护器的,,一般,7
115,安全生产,施工机具,钢筋加工机,"楼栋,层,分层,分户,地下室,室外,标段",张拉设备工作区未设置防护措施,,一般,7
116,安全生产,施工机具,钢筋加工机,"楼栋,层,分层,分户,地下室,室外,标段",钢筋加工区未设置作业棚、钢筋对焊作业区未采取防止火花飞溅措施或冷拉作业区未设置防护栏板,,一般,7
117,安全生产,施工机具,钢筋加工机,"楼栋,层,分层,分户,地下室,室外,标段",未做保护接零或未设置漏电保护器,,一般,7
118,安全生产,施工机具,电焊机,"楼栋,层,分层,分户,地下室,室外,标段",外壳未做保护接零,,一般,7
119,安全生产,施工机具,电焊机,"楼栋,层,分层,分户,地下室,室外,标段",变压器的一次侧电源线长度不应大于5m,,一般,7
120,安全生产,施工机具,电焊机,"楼栋,层,分层,分户,地下室,室外,标段",电焊机械的二次线长度不应大于30m,,一般,7
121,安全生产,施工机具,电焊机,"楼栋,层,分层,分户,地下室,室外,标段",电焊机无防雨罩的,,一般,7
122,安全生产,施工机具,电焊机,"楼栋,层,分层,分户,地下室,室外,标段",无二次空载降压保护器或防触电装置的,,一般,7
123,安全生产,施工机具,搅拌机,"楼栋,层,分层,分户,地下室,室外,标段",搅拌机无防雨棚和作业台不安全的,,一般,7
124,安全生产,施工机具,搅拌机,"楼栋,层,分层,分户,地下室,室外,标段",料斗无保险挂钩或挂钩不使用的,,一般,7
125,安全生产,施工机具,搅拌机,"楼栋,层,分层,分户,地下室,室外,标段",传动部位无保护罩的,,一般,7
126,安全生产,施工机具,搅拌机,"楼栋,层,分层,分户,地下室,室外,标段",未做保护接零、无漏电保护器的,,一般,7
127,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",塔吊已使用，但未取得准用证的,,一般,7
128,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",未配备专职塔吊指挥人员,,一般,7
129,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",两台以上塔吊作业、无防碰撞措施,,一般,7
130,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",主要结构件的变形、锈蚀不符合规范要求,,一般,7
131,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",平台、走道、梯子、护栏的设置不符合规范要求,,一般,7
132,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",高强螺栓、销轴、紧固件的紧固、连接不符合规范要求,,一般,7
133,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",基础未设置排水措施,,一般,7
134,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",未安装避雷接地装置,,一般,7
135,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",电缆使用及固定不符合规范要求,,一般,7
136,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",塔吊与架空线路小于安全距离又无防护措施,,一般,7
137,安全生产,机械设备,塔吊,"楼栋,层,分层,分户,地下室,室外,标段",日常保养维修记录,,一般,7
138,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",架高20m以下时缆风绳未设1组，20~30m未设二组的,,一般,7
139,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",钢丝绳磨损已超过报废标准的,,一般,7
140,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",钢丝绳绳夹设置不符合规范要求,,一般,7
141,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",钢丝绳无过路保护，钢丝绳拖地,,一般,7
142,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",未设置进料口防护棚或设置不符合规范要求,,一般,7
143,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",未安装平台门或平台门不起作用,,一般,7
144,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",停层平台脚手板铺设不严、不牢,,一般,7
145,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",卸料平台两侧无防护栏杆、挡脚板或防护不严的,,一般,7
146,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",平台无防护门或不起作用的每一处,,一般,7
147,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",使用磨擦式卷扬机超高限位采用断电方式的,,一般,7
148,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",附墙架未与建筑结构可靠连接,,一般,7
149,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",钢丝绳直径小于8mm或角度不符合45°～60°要求,,一般,7
150,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",滑轮与导轨架、吊笼未采用刚性连接,,一般,7
151,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",未设置卷扬机操作棚，操作棚搭设不符合规范要求,,一般,7
152,安全生产,机械设备,物料提升机,"楼栋,层,分层,分户,地下室,室外,标段",吊篮提升使用单根钢丝绳的,,一般,7
153,安全生产,机械设备,施工电梯,"楼栋,层,分层,分户,地下室,室外,标段",门连锁装置不起作用的,,一般,7
154,安全生产,机械设备,施工电梯,"楼栋,层,分层,分户,地下室,室外,标段",每层卸料口无防护门，有防护门不使用的,,一般,7
155,安全生产,机械设备,施工电梯,"楼栋,层,分层,分户,地下室,室外,标段",司机无证上岗作业的,,一般,7
156,安全生产,机械设备,施工电梯,"楼栋,层,分层,分户,地下室,室外,标段",未安装楼层信号联络装置,,一般,7
157,安全生产,机械设备,施工电梯,"楼栋,层,分层,分户,地下室,室外,标段",未设置出入口防护棚或设置不符合规范要求,,一般,7
158,安全生产,机械设备,施工电梯,"楼栋,层,分层,分户,地下室,室外,标段",卸料台口搭设不符合要求的,,一般,7
159,安全生产,机械设备,施工电梯,"楼栋,层,分层,分户,地下室,室外,标段",架体附着装置与脚手架连接的,,一般,7
160,安全生产,机械设备,大型机械设备,"楼栋,层,分层,分户,地下室,室外,标段",塔吊、电梯等大型设备的维修保养及交接班记录的检查，抽取最近5次记录,,一般,7
161,安全生产,机械设备,大型机械设备,"楼栋,层,分层,分户,地下室,室外,标段",现场特殊作业人员无上岗证，人证不符,,一般,7
162,安全生产,机械设备,大型机械设备,"楼栋,层,分层,分户,地下室,室外,标段",项目专职安全管理人员配备不符合规范要求,,一般,7
163,安全生产,基坑支护,坑壁支护,"楼栋,层,分层,分户,地下室,室外,标段",坑槽、管沟开挖设置安全边坡不符合安全要求的,,一般,7
164,安全生产,基坑支护,坑壁支护,"楼栋,层,分层,分户,地下室,室外,标段",支护设施已产生局部变形又未采取措施调整的,,一般,7
165,安全生产,基坑支护,坑壁支护,"楼栋,层,分层,分户,地下室,室外,标段",积土、料具堆放距槽边距离小于设计规定的,,一般,7
166,安全生产,基坑支护,排水措施,"楼栋,层,分层,分户,地下室,室外,标段",基坑施工未设置有效排水措施的,,一般,7
167,安全生产,基坑支护,排水措施,"楼栋,层,分层,分户,地下室,室外,标段",深基础施工采用坑外降水，无防止临近建筑危险沉降措施的,,一般,7
168,安全生产,基坑支护,变形监测,"楼栋,层,分层,分户,地下室,室外,标段",未按规定进行基坑支护变形监测的,,一般,7
169,安全生产,基坑支护,变形监测,"楼栋,层,分层,分户,地下室,室外,标段",未按规定对毗邻建筑物和重要管线和道路进行沉降观测的,,一般,7
170,安全生产,基坑支护,上下通道,"楼栋,层,分层,分户,地下室,室外,标段",人员上下无专用通道或设置的通道不符合要求的,,一般,7
171,安全生产,基坑支护,上下通道,"楼栋,层,分层,分户,地下室,室外,标段",开挖深度2m及以上的基坑周边未按规范要求设置，防护栏杆或栏杆设置不符合规范要求,,一般,7
172,安全生产,基坑支护,上下通道,"楼栋,层,分层,分户,地下室,室外,标段",降水井口未设置防护盖板或围栏,,一般,7
173,安全生产,基坑支护,施工方案,"楼栋,层,分层,分户,地下室,室外,标段",基础施工无支护方案的,,一般,7
174,安全生产,基坑支护,施工方案,"楼栋,层,分层,分户,地下室,室外,标段",基坑深度超过5m无专项支护设计及专家论证的,,一般,7
175,安全生产,基坑支护,坑边,"楼栋,层,分层,分户,地下室,室外,标段",基坑边堆置土、料具等荷载超过基坑支护设计允许要求,,一般,7
176,安全生产,基坑支护,荷载,"楼栋,层,分层,分户,地下室,室外,标段",施工机械与基坑边沿的安全距离不符合设计要求,,一般,7
177,安全生产,防火,施工场地,"楼栋,层,分层,分户,地下室,室外,标段",工地未设置吸烟处，吸烟发现一处,,一般,7
178,安全生产,防火,材料堆放,"楼栋,层,分层,分户,地下室,室外,标段",易燃材料未集中堆放、无防火覆盖隔离措施,,一般,7
179,安全生产,防火,材料堆放,"楼栋,层,分层,分户,地下室,室外,标段",易燃易爆物品未分类存放的,,一般,7
180,安全生产,防火,现场防火,"楼栋,层,分层,分户,地下室,室外,标段",无消防措施、制度或无灭火器材的,,一般,7
181,安全生产,防火,现场防火,"楼栋,层,分层,分户,地下室,室外,标段",灭火器材配置不合理的、已失效的,,一般,7
182,安全生产,防火,现场防火,"楼栋,层,分层,分户,地下室,室外,标段",无消防水源（高层建筑）或不能满足消防要求,,一般,7
183,安全生产,防火,现场防火,"楼栋,层,分层,分户,地下室,室外,标段",无动火审批手续和动火监护的,,一般,7
184,安全生产,防火,现场防火,"楼栋,层,分层,分户,地下室,室外,标段",在建工程兼作住宿的,,一般,7
185,安全生产,防火,用气管理,"楼栋,层,分层,分户,地下室,室外,标段",气瓶间距小于5m、距明火小于10m又无隔离措施的,,一般,7
