序号,分部名称,子分部名称,分项名称,默认验收批次,指标名称,整改建议,问题级别,整改天数
30,主体结构阶段,卫生间渗漏,反坎,"楼栋,层,分层,分户,地下室,室外,标段",已支模还未剔凿（特别注意竖向结合面）或剔凿不到位（扣分标准：剔凿面积小于接触面积50%）,,一般,7
31,主体结构阶段,卫生间渗漏,反坎,"楼栋,层,分层,分户,地下室,室外,标段",露筋、蜂窝、疏松、孔洞、开裂（面层开裂不扣分）、夹渣，拆模过早破坏、导墙偏位超过15mm,,一般,7
32,主体结构阶段,屋面、阳/露台,屋面基层,"楼栋,层,分层,分户,地下室,室外,标段",露筋、错台、蜂窝、孔洞、裂缝缺陷未处理就施工防水层,,一般,7
33,主体结构阶段,屋面、阳/露台,女儿墙,"楼栋,层,分层,分户,地下室,室外,标段",屋面烟风道、女儿墙出结构板300范围内未与板一起浇筑，或浇筑高度不足,,一般,7
34,主体结构阶段,屋面、阳/露台,女儿墙,"楼栋,层,分层,分户,地下室,室外,标段",平屋面烟风道：低于建筑完成面250mm；出结构板300范围内未与板一起浇筑,,一般,7
35,主体结构阶段,屋面、阳/露台,女儿墙,"楼栋,层,分层,分户,地下室,室外,标段",平屋面出屋面门槛低于建筑完成面150mm,,一般,7
36,主体结构阶段,屋面、阳/露台,女儿墙,"楼栋,层,分层,分户,地下室,室外,标段",斜屋面烟风道（出结构板300范围内未与板一起浇筑）、侧墙：低于建筑完成面250mm,,一般,7
37,主体结构阶段,屋面、阳/露台,风管,"楼栋,层,分层,分户,地下室,室外,标段",屋面风管出管井侧墙收口工序滞后于保温涂料，或风管收口不密实，或未向外找坡有渗漏隐患,,一般,7
38,主体结构阶段,屋面、阳/露台,防水套管,"楼栋,层,分层,分户,地下室,室外,标段",未设刚性防水套管；,,一般,7
39,主体结构阶段,屋面、阳/露台,防水套管,"楼栋,层,分层,分户,地下室,室外,标段",金属套管内侧未做防腐处理；,,一般,7
40,主体结构阶段,屋面、阳/露台,细部构造,"楼栋,层,分层,分户,地下室,室外,标段",细部防水构造不符合规范或设计要求（如：檐口卷材收头未用密封材料密封；檐沟、天沟、变形缝、出屋面管道未做防水附加层；侧排水落口附近未做集水簸箕口、涂膜防水未卷入水落口50mm；卷材防水时阴角未做R角）；,,一般,7
41,主体结构阶段,屋面、阳/露台,屋面开裂,"楼栋,层,分层,分户,地下室,室外,标段",只要砼出现贯穿性裂缝（不含表面微小收缩裂纹）,,一般,7
42,主体结构阶段,屋面、阳/露台,屋面渗漏,"楼栋,层,分层,分户,地下室,室外,标段",存在渗漏现象,,一般,7
43,主体结构阶段,防水施工,底板防水,,底油涂刷不均匀,,,0
44,主体结构阶段,防水施工,底板防水,,卷材材料厚度不达标,,,0
45,主体结构阶段,防水施工,底板防水,,卷材搭接宽度、长度不足,,,0
46,主体结构阶段,防水施工,底板防水,,卷材空鼓、破损,,,0
47,主体结构阶段,防水施工,底板防水,,后浇带、阴角等部位无防水附加层,,,0
48,主体结构阶段,防水施工,底板防水,,后浇带部位剔凿、清理不彻底,,,0
49,主体结构阶段,防水施工,底板防水,,桩头防水处理不合格,,,0
50,主体结构阶段,防水施工,侧墙防水,,止水钢板设置不当、焊接不合格,,,0
51,主体结构阶段,防水施工,侧墙防水,,底油涂刷不均匀,,,0
52,主体结构阶段,防水施工,侧墙防水,,涂膜厚度不达标,,,0
53,主体结构阶段,防水施工,侧墙防水,,卷材搭接宽度、长度不足,,,0
54,主体结构阶段,防水施工,侧墙防水,,卷材固定不牢、空鼓、破损,,,0
55,主体结构阶段,防水施工,侧墙防水,,后浇带、穿墙管等部位无防水附加层,,,0
56,主体结构阶段,防水施工,侧墙防水,,后浇带部位剔凿、清理不彻底,,,0
57,主体结构阶段,防水施工,侧墙防水,,防水保护层破损,,,0
58,主体结构阶段,防水施工,侧墙防水,,侧壁预留套管处渗水,,,0
59,主体结构阶段,防水施工,侧墙防水,,侧壁后浇带后处渗水,,,0
60,主体结构阶段,防水施工,顶板防水,,底油涂刷不均匀,,,0
61,主体结构阶段,防水施工,顶板防水,,卷材搭接宽度、长度不足,,,0
62,主体结构阶段,防水施工,顶板防水,,卷材固定不牢、空鼓、破损,,,0
63,主体结构阶段,防水施工,顶板防水,,后浇带部位剔凿、清理不彻底,,,0
64,主体结构阶段,防水施工,顶板防水,,阴角等关键部位未施工附加层,,,0
65,主体结构阶段,防水施工,顶板防水,,分隔缝处未设置附加层,,,0
66,主体结构阶段,防水施工,顶板防水,,顶板后浇带处渗水,,,0
67,主体结构阶段,防水施工,屋面防水,,底油涂刷不均匀,,,0
68,主体结构阶段,防水施工,屋面防水,,卷材搭接宽度、长度不足,,,0
69,主体结构阶段,防水施工,屋面防水,,卷材空鼓、开裂、起鼓、破损、流淌等,,,0
70,主体结构阶段,防水施工,屋面防水,,阴角、管根等无防水附加层,,,0
71,主体结构阶段,防水施工,屋面防水,,采光井部位渗水,,,0
72,主体结构阶段,防水施工,屋面防水,,卷材收头不严密,,,0
73,主体结构阶段,防水施工,屋面防水,,墙根部卷材收口不到位、翘曲、开裂,,,0
74,主体结构阶段,防水施工,屋面防水,,雨落口无篦子、细部防水做法不到位,,,0
75,粗装修阶段,砌筑施工,砌筑基层,"楼栋,层,分层,分户,地下室,室外,标段",抹灰前未处理胀模、错台、露筋,,一般,7
76,粗装修阶段,砌筑施工,砌筑基层,"楼栋,层,分层,分户,地下室,室外,标段",未清理穿墙螺杆PVC套管,,一般,7
77,粗装修阶段,砌筑施工,管线开槽,"楼栋,层,分层,分户,地下室,室外,标段",无放线切割直接人工开槽,,一般,7
78,粗装修阶段,砌筑施工,管线开槽,"楼栋,层,分层,分户,地下室,室外,标段",开槽水平投影长度大于300mm,,一般,7
79,粗装修阶段,砌筑施工,管线开槽,"楼栋,层,分层,分户,地下室,室外,标段",当在条板隔墙上横向开槽、开洞敷设电气暗线、暗管、开关盒时，隔墙的厚度不小于90mm，开槽长度不应大于条板宽度的1／2，严禁在墙体两侧同一部位开槽、开洞，错开应≥150mm,,一般,7
80,粗装修阶段,砌筑施工,管线开槽,"楼栋,层,分层,分户,地下室,室外,标段",线管暗埋应避免骑板缝，切割洞口应小于板宽的1/2,,一般,7
81,粗装修阶段,砌筑施工,开槽封堵,"楼栋,层,分层,分户,地下室,室外,标段",开槽部位封堵完成后开裂,,一般,7
82,粗装修阶段,砌筑施工,条板施工工艺,"楼栋,层,分层,分户,地下室,室外,标段",板材安装正确：门边板关注12cm范围内是否实心，门边板不能小于200mm，非门边板补板不能小于200mm,,一般,7
83,粗装修阶段,砌筑施工,条板施工工艺,"楼栋,层,分层,分户,地下室,室外,标段",隔墙板底部缝隙按照图集要求使用干硬性水泥砂浆或细石混凝土进行封堵,,一般,7
84,粗装修阶段,砌筑施工,条板施工工艺,"楼栋,层,分层,分户,地下室,室外,标段",与结构墙体连接隔墙板钢卡分布均匀，照图集要求进行排布，厚度要求不小于1.5mm,,一般,7
85,粗装修阶段,砌筑施工,条板施工工艺,"楼栋,层,分层,分户,地下室,室外,标段",隔墙板经过验收再将板缝处粘贴网格布进行覆盖，板缝处灰浆饱满,,一般,7
86,粗装修阶段,砌筑施工,条板施工工艺,"楼栋,层,分层,分户,地下室,室外,标段",严禁将电盒、过线盒、空调预留孔等设置在预制墙板板缝内，超过3个（不含）的连体底盒除外,,一般,7
87,粗装修阶段,砌筑施工,砌筑重要构件,"楼栋,层,分层,分户,地下室,室外,标段",门窗框预制块：采用C20混凝土块、水泥砖或其他材料固定块宽度同墙厚，高度应与砌块同高或砌块高度的1/2且不小于100mm，长度不小于200mm，最上部（或最下部）的固定块中心距洞口上下边的距离为150～250mm，其余部位的中心距不大于600mm，且均匀分布大孔轻集料砌体墙的门窗洞口两侧应灌芯柱，配2φ12，C20混凝土浇筑门窗洞口未设置构造柱，则必须设置混凝土预制块,,一般,7
88,粗装修阶段,砌筑施工,砌筑重要构件,"楼栋,层,分层,分户,地下室,室外,标段",砌体墙空调孔：如为空心砖砌体墙，不得采取直接开孔方式安装空调套管；无倒坡,,一般,7
89,粗装修阶段,砌筑施工,砌筑重要构件,"楼栋,层,分层,分户,地下室,室外,标段",现浇或预制窗台压顶：宽同墙厚，高度≥100mm，每边入墙内≥100mm，且不允许后浇（不足100mm通长设置）,,一般,7
90,粗装修阶段,砌筑施工,砌筑重要构件,"楼栋,层,分层,分户,地下室,室外,标段",现浇构造柱：底部、顶部各预留4根钢筋，砼一次浇注至梁板底，构造柱遗漏扣分,,一般,7
91,粗装修阶段,砌筑施工,砌筑重要构件,"楼栋,层,分层,分户,地下室,室外,标段",洞口（大于300MM）的过梁：同墙宽，入墙不少于250mm；因平面限制，入墙小于150mm时，采用植筋及现浇,,一般,7
92,粗装修阶段,砌筑施工,砌筑重要构件,"楼栋,层,分层,分户,地下室,室外,标段",墙顶空隙的补砌挤紧或灌缝间隔不少于14天,,一般,7
93,粗装修阶段,砌筑施工,砌块规格,"楼栋,层,分层,分户,地下室,室外,标段",砌块规格统一，无缺棱掉角(缺角最长边≥5cm），无断砖,,一般,7
94,粗装修阶段,砌筑施工,砌块规格,"楼栋,层,分层,分户,地下室,室外,标段",除斜顶砖、下槛和其他预制块外，墙体由两种及以上材料进行砌筑的现象,,一般,7
95,粗装修阶段,砌筑施工,二次结构缺陷,"楼栋,层,分层,分户,地下室,室外,标段",内墙构造柱、过梁、腰梁等二次结构浇筑不密实，存在蜂窝、露筋、夹渣、开裂等质量缺陷,,一般,7
96,粗装修阶段,砌筑施工,灰缝缺陷,"楼栋,层,分层,分户,地下室,室外,标段",瞎缝、透缝、灰缝不密实,,一般,7
97,粗装修阶段,抹灰施工,抹灰砂浆,,楼层上堆放砂浆应设垫板、现场不应加水、初凝后不使用,,,0
98,粗装修阶段,抹灰施工,抹灰基层,,抹灰前未处理胀模、错台、露筋,,,0
99,粗装修阶段,抹灰施工,抹灰基层,,未清理穿墙螺杆PVC套管,,,0
100,粗装修阶段,抹灰施工,挂网,,非保温外墙不同墙体交接处未挂丝径不小于0.5mm的钢丝网,,,0
101,粗装修阶段,抹灰施工,挂网,,内墙不同墙体交接处未挂丝径不小于0.7mm的钢丝网,,,0
102,粗装修阶段,抹灰施工,挂网,,加强网与各基体的搭接宽度小于100mm,,,0
103,粗装修阶段,抹灰施工,挂网,,抹灰总厚度大于等于35mm时未设钢丝网或耐碱玻纤网,,,0
104,粗装修阶段,抹灰施工,烟道成品保护,,烟风道成品保护不到位、破损（破损小于5cm²不计）,,,0
105,粗装修阶段,抹灰施工,烟道成品保护,,烟风道抹灰施工时，与墙体交接处未挂丝径不小于0.4mm的耐碱纤维网格布,,,0
106,粗装修阶段,抹灰施工,烟道封堵,,排烟道与楼板间隙浇捣前应进行凿毛处理，用C20细石混凝土分两次将缝隙密封填实，并浇筑C20混凝土反坎，并做好防水及蓄水试验，封堵不密实、存在蜂窝、孔洞等现象,,,0
107,粗装修阶段,抹灰施工,烟道封堵,,排烟道应在楼层结构板处搭接，严禁在楼层中部搭接,,,0
108,粗装修阶段,抹灰施工,空鼓开裂及修补,,存在空鼓开裂,,,0
109,粗装修阶段,抹灰施工,空鼓开裂及修补,,空鼓开裂未采用无齿锯切割，修补不规整,,,0
110,粗装修阶段,抹灰施工,抹灰后开槽,,已抹灰或刮腻子后开槽,,,0
111,粗装修阶段,抹灰施工,抹灰观感,,强度不足，起砂,,,0
112,粗装修阶段,抹灰施工,抹灰观感,,外露钢筋头、抗裂网、混凝土面等,,,0
113,粗装修阶段,抹灰施工,抹灰观感,,阳角明显破损（约2cm以上）,,,0
114,粗装修阶段,抹灰施工,抹灰观感,,分两次粉刷接茬收口不规整、收口位置不符合要求（外窗、门洞口等部位收边收口除外）,,,0
115,粗装修阶段,防火门施工,防火门,,磕碰、划伤、变形、成品保护不到位,,,0
116,粗装修阶段,防火门施工,防火门,,门框固定不牢固、松动,,,0
117,粗装修阶段,防火门施工,防火门,,框内未按要求灌浆、未填充防火材料,,,0
118,粗装修阶段,防火门施工,防火门,,门框与墙面安装缝隙过大,,,0
119,粗装修阶段,防火门施工,防火门,,把手、门锁等五金件损坏、丢失,,,0
120,粗装修阶段,防火门施工,防火门,,开闭不灵活、异响、关闭不严密,,,0
121,粗装修阶段,地坪施工,地坪,,地面观感差、修补不美观,,,0
122,粗装修阶段,地坪施工,地坪,,基层未凿毛，未清渣,,,0
123,粗装修阶段,地坪施工,地坪,,基层未清理干净、未扫浆,,,0
124,粗装修阶段,地坪施工,地坪,,地面露管,,,0
125,粗装修阶段,地坪施工,地坪,,空鼓,,,0
126,粗装修阶段,地坪施工,地坪,,开裂,,,0
127,粗装修阶段,地坪施工,地坪,,未设置分隔缝,,,0
128,粗装修阶段,地坪施工,地坪,,起砂、强度不足,,,0
129,粗装修阶段,地坪施工,地坪,,地坪极差过大，坡向不对,,,0
130,粗装修阶段,地坪施工,地坪,,地坪养护不到位,,,0
131,精装修阶段,墙地砖/石材,成品保护效果,"楼栋,层,分层,分户,地下室,室外,标段",墙地砖：存在断裂、划伤、破损；,,一般,7
132,精装修阶段,墙地砖/石材,成品保护效果,"楼栋,层,分层,分户,地下室,室外,标段",石材：存在空鼓、开裂、破损、返碱或者锈斑等，是否做了六面防水,,一般,7
133,精装修阶段,墙地砖/石材,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；精装修主包：墙地砖、门坎石、窗台板、踢脚线（非木质踢脚线）；,,一般,7
134,精装修阶段,墙地砖/石材,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",瓷砖与非瓷砖墙面过度应分界清晰美观、型材交接细致美观，瓷砖收边收口应顺直，无爆边毛刺,,一般,7
135,精装修阶段,墙地砖/石材,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",瓷砖阳角拼缝整齐，无明显错缝、高低差,,一般,7
136,精装修阶段,墙地砖/石材,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",厨卫墙地面收口采用地面压墙面收口方式（此项内容不扣分，提醒项）,,,0
137,精装修阶段,涂料面,涂料墙面,,开间进深不符合设计要求,,,0
138,精装修阶段,涂料面,涂料墙面,,门窗内侧墙体尺寸大小头,,,0
139,精装修阶段,涂料面,涂料墙面,,窗台板收口缝隙过大,,,0
140,精装修阶段,涂料面,涂料墙面,,墙面基层空鼓、开裂,,,0
141,精装修阶段,涂料面,涂料墙面,,墙体不同材质间的挂网加固不到位,,,0
142,精装修阶段,涂料面,涂料墙面,,阴阳角条加固不到位,,,0
143,精装修阶段,涂料面,涂料墙面,,墙面阴阳角不合格,,,0
144,精装修阶段,涂料面,涂料墙面,,墙面垂直度、平整度不合格,,,0
145,精装修阶段,涂料面,涂料墙面,,涂料露涂、咬色、色差、流坠、刷纹等,,,0
146,精装修阶段,涂料面,涂料墙面,,涂料面层开裂、起皮、褪色等,,,0
147,精装修阶段,涂料面,涂料墙面,,开关插座底盒、面板间距及平整度不合格,,,0
148,精装修阶段,涂料面,涂料顶棚,,顶棚涂料破损、污染,,,0
149,精装修阶段,涂料面,涂料顶棚,,顶棚涂料色差,,,0
150,精装修阶段,涂料面,涂料顶棚,,灯带光线均匀、无暗影,,,0
151,精装修阶段,涂料面,涂料顶棚,,灯槽内垃圾未清理干净,,,0
152,精装修阶段,涂料面,涂料顶棚,,灯槽内涂料刷未到位，透底,,,0
153,精装修阶段,涂料面,涂料顶棚,,石膏线接口不平,,,0
154,精装修阶段,涂料面,涂料顶棚,,石膏线开裂,,,0
155,精装修阶段,涂料面,涂料顶棚,,吊顶线条不顺直,,,0
156,精装修阶段,吊顶,石膏板,"楼栋,层,分层,分户,地下室,室外,标段","石膏板吊顶转角部位未设置L或T型石膏板,或未采取角部加强措施",,,0
157,精装修阶段,吊顶,石膏板,"楼栋,层,分层,分户,地下室,室外,标段",石膏板封板拼缝未固定在副龙骨上或双层石膏板未错缝设置，石膏板与墙面装饰面基层留缝5-8mm，板缝间距4-6mm；,,,0
158,精装修阶段,吊顶,石膏板,"楼栋,层,分层,分户,地下室,室外,标段",石膏板吊顶与水泥砂浆墙体之间防开裂措施或有无采取阴角槽工艺；,,,0
159,精装修阶段,吊顶,石膏板,"楼栋,层,分层,分户,地下室,室外,标段",吊顶面层板质量板面无开裂、板面无翘曲变形、发霉、污染、水痕、锈迹等情况；,,,0
160,精装修阶段,吊顶,龙骨,"楼栋,层,分层,分户,地下室,室外,标段",龙骨安装前防腐防火涂料未满刷,,,0
161,精装修阶段,吊顶,龙骨,"楼栋,层,分层,分户,地下室,室外,标段",自攻螺丝背部未涂刷防锈漆,,,0
162,精装修阶段,吊顶,龙骨,"楼栋,层,分层,分户,地下室,室外,标段",拼缝未贴牛皮纸或存在开裂,,,0
163,精装修阶段,吊顶,龙骨,"楼栋,层,分层,分户,地下室,室外,标段",龙骨间距不符合要求,,,0
164,精装修阶段,吊顶,拼接,"楼栋,层,分层,分户,地下室,室外,标段",拼接时未做燕尾榫连接，缝隙较大，表面不平整,,,0
165,精装修阶段,吊顶,拼接,"楼栋,层,分层,分户,地下室,室外,标段",连接处未使用骑马枪钉固定连接,,,0
166,精装修阶段,吊顶,拼接,"楼栋,层,分层,分户,地下室,室外,标段",背面无木板加固并且未使用木螺丝固定,,,0
167,精装修阶段,吊顶,重型灯具,"楼栋,层,分层,分户,地下室,室外,标段",重型灯具或排气扇等设备直接安装吊顶龙骨上，未单独设置承重结构的；,,,0
168,精装修阶段,吊顶,铝扣板,"楼栋,层,分层,分户,地下室,室外,标段",铝扣板吊顶燃气管等开孔四周不光滑、平整，四周留缝不均匀（目测）,,,0
169,精装修阶段,吊顶,铝扣板,"楼栋,层,分层,分户,地下室,室外,标段",板材有明显大小头，有破损、变形,,,0
170,精装修阶段,吊顶,铝扣板,"楼栋,层,分层,分户,地下室,室外,标段",同种板材有明显色差,,,0
171,精装修阶段,木地板,木地板基层,"楼栋,层,分层,分户,地下室,室外,标段",基层：木地板基层找平不平整（＞3mm）或起沙或存在渗漏,,,0
172,精装修阶段,木地板,木地板基层,"楼栋,层,分层,分户,地下室,室外,标段",起鼓、异响、冒灰、拼缝过大（＞0.5mm）,,,0
173,精装修阶段,木地板,木地板基层,"楼栋,层,分层,分户,地下室,室外,标段",工序：珍珠棉无满铺或沿墙无卷高50mm，木地板存在小于5cm小条，同一房间色差过大,,,0
174,精装修阶段,木地板,成品保护效果,"楼栋,层,分层,分户,地下室,室外,标段",无划痕、破损、变形、污染（地板表面不存在污渍、浮灰、粉尘）,,,0
175,精装修阶段,木地板,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；木地板单位：木地板；,,,0
176,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,成品保护效果,"楼栋,层,分层,分户,地下室,室外,标段",表面破损、划痕、断裂、砂浆涂料污染等,,,0
177,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；安装单位：电位线盒、浴缸、马桶、龙头、灯具、强弱电箱；,,,0
178,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；橱柜单位：吊柜、地柜、台面石；,,,0
179,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；淋浴隔断单位：玻璃、五金,,,0
180,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；栏杆单位：阳台栏杆、入户花园扶手、楼梯间栏杆,,,0
181,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",开关、插座等面板在涂料施工完成后，面板四周应密实、平整、无空缝,,,0
182,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",开关插座面板四周严禁打胶收口,,,0
183,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",墙面抹灰及刮腻子前，应在底盒上安装标准尺寸的聚苯板模块，确保抹灰或腻子沿底盒边方正且密实，且保护底盒不受污染,,,0
184,精装修阶段,部品安装（台盆、马桶、浴缸、柜体、开关面板等）,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",强弱电箱面板应在室内湿作业完成后再安装，并做好成品保护工作箱体周边应用腻子精修打磨，确保整洁、平直；当强弱电箱在玄关柜内时，柜体图纸深化时应专门考虑强弱电箱的收口，确保避开层板，电箱四周不应露出墙体或柜板毛边面板开闭顺畅,,,0
185,精装修阶段,入户门、户内门,门套基层,"楼栋,层,分层,分户,地下室,室外,标段",入户门/户内门安装不牢固、启闭不严,,,0
186,精装修阶段,入户门、户内门,门套基层,"楼栋,层,分层,分户,地下室,室外,标段",户内门基层木板未作三防处理，基层木板底部离门槛石高度不足20MM；卫生间木质门套线落在门槛石上；,,,0
187,精装修阶段,入户门、户内门,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",户内门套线与墙面留自然缝收口，禁止打胶,,,0
188,精装修阶段,入户门、户内门,收边收口,"楼栋,层,分层,分户,地下室,室外,标段",门套周边提搞平整度要求，腻子已打磨或已上面漆为[0，1]mm；腻子未打磨为[0，2]mm,,,0
189,精装修阶段,入户门、户内门,成品保护效果,"楼栋,层,分层,分户,地下室,室外,标段",入户门划伤、变形、破损、污染；户内门划伤、开裂、变形、破损、污染；,,,0
190,精装修阶段,入户门、户内门,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；木门单位：木门框、木门扇、五金件；,,,0
191,精装修阶段,入户门、户内门,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象；入户门单位：门框、门扇,,,0
192,精装修阶段,墙布墙纸,墙纸,"层,分层,分户",壁纸鼓包,批量墙纸施工前，对客餐厅及卧室阳光直射墙面、射灯墙面进行 100%光照检查，严抓基层质量,,0
